"SRS024343.SRX019684" "SRS020539.SRX019684" "SRS020881.SRX019691" "SRS011589.SRX020669" "SRS043574.SRX020563" "SRS063514.SRX020579" "SRS045871.SRX020563" "SRS047494.SRX020687" "SRS023617.SRX019635" "SRS017653.SRX019635" "SRS016529.SRX019635" "SRS020245.SRX019635" "SRS020002.SRX019635" "SRS018088.SRX019635" "SRS016529.SRX019636" "SRS017533.SRX019635" "SRS013502.SRX019636" "SRS017653.SRX019636" "SRS017533.SRX019636" "SRS013234.SRX019639" "SRS018009.SRX019639" "SRS016343.SRX019682" "SRS016712.SRX019682" "SRS057692.SRX019682" "SRS017713.SRX019682" "SRS023746.SRX019681" "SRS020302.SRX019684" "SRS013819.SRX019684" "SRS017121.SRX019684" "SRS024637.SRX019687" "SRS017278.SRX019686" "SRS017467.SRX019687" "SRS057362.SRX019691" "SRS021496.SRX019690" "SRS020362.SRX019691" "SRS016859.SRX019692" "SRS024220.SRX019692" "SRS024277.SRX019692" "SRS016859.SRX019696" "SRS023188.SRX019692" "SRS022621.SRX019692" "SRS023188.SRX019696" "SRS019566.SRX020560" "SRS014651.SRX020560" "SRS047219.SRX020560" "SRS015174.SRX020558" "SRS014750.SRX020558" "SRS015870.SRX020558" "SRS015354.SRX020535" "SRS015560.SRX020535" "SRS016002.SRX020573" "SRS018739.SRX020522" "SRS016319.SRX020522" "SRS018985.SRX020510" "SRS018985.SRX020520" "SRS011506.SRX020660" "SRS011589.SRX020666" "SRS011484.SRX020668" "SRS014651.SRX020551" "SRS019566.SRX020551" "SRS015395.SRX020555" "SRS015117.SRX020555" "SRS042427.SRX020531" "SRS042698.SRX020576" "SRS014952.SRX020576" "SRS048709.SRX020665" "SRS065656.SRX020665" "SRS063184.SRX020542" "SRS056511.SRX020514" "SRS065544.SRX020528" "SRS053775.SRX020533" "SRS051778.SRX020514" "SRS062800.SRX020528" "SRS063776.SRX020579" "SRS064558.SRX020579" "SRS063516.SRX020579" "SRS062540.SRX020548" "SRS014271.SRX020560" "SRS022999.SRX020679" "SRS020131.SRX020680" "SRS013774.SRX020680" "SRS023434.SRX020680" "SRS023863.SRX020681" "SRS022426.SRX020680" "SRS024523.SRX020680" "SRS023500.SRX020681" "SRS048045.SRX020681" "SRS042197.SRX020681" "SRS021613.SRX020683" "SRS048045.SRX020683" "SRS062479.SRX020684" "SRS053664.SRX020684" "SRS045934.SRX020684" "SRS052128.SRX020684" "SRS047918.SRX020685" "SRS050410.SRX020685" "SRS058192.SRX020686" "SRS046383.SRX020686" "SRS042888.SRX020687" "SRS045214.SRX020687" "SRS053439.SRX020687" "SRS062575.SRX020689" "SRS011359.SRX020515" "SRS046022.SRX020533" "SRS047607.SRX020533" "SRS064261.SRX020579" "SRS023803.SRX021470" "SRS057759.SRX021470" "SRS058627.SRX021470" "SRS047149.SRX022036" "SRS023683.SRX022223" "SRS022747.SRX022226" "SRS023254.SRX022223" "SRS023118.SRX022226" "SRS045922.SRX022227" "SRS056219.SRX022227" "SRS020995.SRX022235" "SRS020653.SRX022230" "SRS021316.SRX022235" "SRS021439.SRX022239" "SRS021376.SRX022239" "SRS022303.SRX022231" "X700015199.V35.241719" "X700014529.V35.241762" "X700014411.V35.241827" "X700015463.V35.241665" "X700015088.V35.241773" "X700015722.V35.241804" "X700014929.V35.241820" "X700014410.V35.241827" "X700015462.V35.241665" "X700016318.V35.241673" "X700014928.V35.241820" "X700015264.V35.241748" "X700015087.V35.241773" "X700015998.V35.241834" "X700033165.V35.241783" "X700016062.V35.241709" "X700033760.V35.241764" "X700014528.V35.241762" "X700015198.V35.241719" "X700015132.V35.241755" "X700014732.V35.241810" "SRS018202.SRX019639" "SRS050362.SRX020560" "SRS015297.SRX020558" "SRS015231.SRX020535" "SRS015708.SRX020573" "SRS016060.SRX020573" "SRS019111.SRX020545" "SRS011456.SRX020666" "SRS011506.SRX020668" "SRS014807.SRX020555" "SRS014593.SRX020555" "SRS042643.SRX020531" "SRS054440.SRX020533" "SRS054065.SRX020533" "SRS050936.SRX020533" "SRS011161.SRX020666" "SRS063549.SRX020689" "SRS043591.SRX020518" "SRS015762.SRX020573" "SRS022558.SRX022226" "X700014972.V35.241686" "X700016153.V35.241760" "X700014577.V35.241766" "SRS024400.SRX019635" "SRS017406.SRX019635" "SRS021982.SRX019636" "SRS020002.SRX019636" "SRS018088.SRX019636" "SRS021982.SRX019635" "SRS017406.SRX019636"
"s__acnes" 1 0 0 0 1 0 1 0 1 2.8073549220576 0 0 0 0 1 1.58496250072116 1 2.8073549220576 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 5.39231742277876 0 0 0 0 0 1 0 0 0 0 1.58496250072116 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0
"s__aeria" 1.58496250072116 0 1 0 1 0 1.58496250072116 1 0 3.70043971814109 0 1 0 0 0 2.32192809488736 2.32192809488736 3.90689059560852 2.58496250072116 0 1 0 0 0 0 0 2.32192809488736 0 0 2.32192809488736 1 2.58496250072116 1 0 2 1 0 0 1 2 0 2.32192809488736 0 2 0 2.58496250072116 1 0 0 2 0 0 0 2 2 1.58496250072116 1 0 1 0 1 1.58496250072116 0 0 4 0 0 0 0 0 0 0 1.58496250072116 2 1.58496250072116 0 2.32192809488736 5.08746284125034 1 0 1.58496250072116 1 1.58496250072116 2.32192809488736 0 0 1 0 0 2 0 2.32192809488736 1.58496250072116 3.4594316186373 1.58496250072116 1 3.32192809488736 1 3 2 0 1 5.28540221886225 0 1.58496250072116 1 0 0 1.58496250072116 1.58496250072116 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 4 0 2.32192809488736 0 2 0 0 0 0 0 0 1.58496250072116 2.58496250072116 0 1 1 1 1 0 0 0 1 0 1 1 0 1.58496250072116 0 0 1 0 0 0 0 0 1.58496250072116 0 0 0 1.58496250072116 2.58496250072116 0 0 0 0 0 1 2.32192809488736
"s__agalactiae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alactolyticus" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 3.90689059560852 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"s__aminovorans" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__amylovorum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__anaerobius" 0 0 0 0 0 1.58496250072116 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 1.58496250072116 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1.58496250072116 0 0 2.32192809488736 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 1.58496250072116 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__anginosus" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1.58496250072116 0 1.58496250072116 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.85798099512757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0
"s__aquatilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__aureus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
