"s__acidaminiphila" "s__acidifaciens" "s__acidilactici" "s__acnes" "s__aculeolatus" "s__adhaesivum" "s__adolescentis" "s__aeria" "s__aerofaciens" "s__agalactiae" "s__aggregatus" "s__agilis" "s__alactolyticus" "s__alaskensis" "s__alcaligenes" "s__alkalitolerans" "s__alpinitundrae" "s__aminovorans" "s__amurskyense" "s__amylolyticus" "s__amylovorum" "s__anaerobius" "s__anginosus" "s__angustum" "s__animalis" "s__aquatilis" "s__aureum" "s__aureus" "s__aurimucosum" "s__azabuensis" "s__azotifigens" "s__bacteriovorus" "s__badius" "s__balearica" "s__barkeri" "s__bifida" "s__bifidum" "s__biforme" "s__biprosthecium" "s__boronitolerans" "s__bovis" "s__bowmanii" "s__breve" "s__brevis" "s__bromii" "s__bryophila" "s__butyricum" "s__caccae" "s__caeni" "s__caeruleus" "s__callidus" "s__canimorsus" "s__caricis" "s__casei" "s__caseolyticus" "s__cateniformis" "s__catus" "s__cecorum" "s__celatum" "s__chocolatum" "s__cinerea" "s__citronellolis" "s__clausii" "s__coagulans" "s__coleohominis" "s__conglomeratum" "s__copri" "s__coprophilus" "s__cryaerophilus" "s__cryoconitis" "s__cylindrica" "s__cylindroides" "s__D168" "s__delbrueckii" "s__dentocariosa" "s__depolymerans" "s__diminuta" "s__diospyrosa" "s__dispar" "s__dispersa" "s__distasonis" "s__dolichum" "s__durum" "s__echinoides" "s__effusa" "s__eggerthii" "s__elegans" "s__elkanii" "s__endodontalis" "s__enterica" "s__epidermidis" "s__equi" "s__equorum" "s__europaeus" "s__eutactus" "s__exhalans" "s__exiguus" "s__facilis" "s__faecis" "s__faecium" "s__farmeri" "s__fascians" "s__firmus" "s__flavefaciens" "s__flexus" "s__foraminis" "s__formicigenerans" "s__formigenes" "s__fragi" "s__fragilis" "s__frigidarium" "s__fulvum" "s__fusca" "s__gadei" "s__gallinarum" "s__garvieae" "s__genomosp." "s__genosp." "s__geothermalis" "s__gibsonii" "s__gifhornensis" "s__ginsengihumi" "s__globerulus" "s__gnavus" "s__gordonae" "s__gordonii" "s__granulosum" "s__guilliermondii" "s__guillouiae" "s__haemolyticus" "s__halophobica" "s__helveticus" "s__henricii" "s__hepaticus" "s__hirsuta" "s__hispanicum" "s__hydrocarbonoclasticus" "s__hyovaginalis" "s__hypermegale" "s__indoligenes" "s__iners" "s__infantis" "s__influenzae" "s__intermedia" "s__intermedium" "s__jenensis" "s__johnsonii" "s__kestanbolensis" "s__komagatae" "s__kroppenstedtii" "s__kuhniae" "s__leguminosarum" "s__lenta" "s__lentimorbus" "s__lividum" "s__longum" "s__lubricantis" "s__lugdunensis" "s__luteciae" "s__luteoviolacea" "s__luteus" "s__lwoffii" "s__maitriensis" "s__marcescens" "s__maritypicum" "s__mashuensis" "s__mastitidis" "s__mediolanus" "s__melaninogenica" "s__meningoseptica" "s__meridiei" "s__mexicana" "s__michiganensis" "s__minor" "s__mirabilis" "s__mizutaii" "s__mobilis" "s__moniliformis" "s__moorei" "s__morganii" "s__mucilaginosa" "s__muciniphila" "s__mucosa" "s__mucosae" "s__multacida" "s__multivorum" "s__multocida" "s__muralis" "s__murrayii" "s__nanceiensis" "s__neonatale" "s__nigrescens" "s__nitroreducens" "s__noxia" "s__obeum" "s__obscurus" "s__ochracea" "s__ochraceum" "s__odoratimimus" "s__oleronius" "s__organophilum" "s__orientis" "s__otitis" "s__ovatus" "s__p-1630-c5" "s__pallens" "s__palustris" "s__paradoxus" "s__parahaemolyticus" "s__parainfluenzae" "s__parvula" "s__pasteurianum" "s__perfringens" "s__pettenkoferi" "s__pilosum" "s__piscolens" "s__plebeius" "s__pneumotropica" "s__pontis" "s__porcinus" "s__prausnitzii" "s__producta" "s__pseudolongum" "s__psychrolactophilus" "s__psychrophilum" "s__psychrophilus" "s__psychrotolerans" "s__pulmonis" "s__puraquae" "s__pylori" "s__radiopugnans" "s__ramosa" "s__rectus" "s__reuszeri" "s__reuteri" "s__rhizophila" "s__rhizosphaerae" "s__rhizovicinus" "s__rimae" "s__rosea" "s__roseoviolacea" "s__ruber" "s__rubra" "s__rubrolavendulae" "s__rugosa" "s__ruminantium" "s__ruminis" "s__rumoiensis" "s__safensis" "s__salivarius" "s__schindleri" "s__sciuri" "s__segnis" "s__selenatarsenatis" "s__serinedens" "s__shigelloides" "s__simulans" "s__sobrinus" "s__socranskii" "s__somerae" "s__sphaerocarpa" "s__sphaeroides" "s__stationis" "s__stercorea" "s__stercoris" "s__stutzeri" "s__subflava" "s__succinicans" "s__succinus" "s__tannerae" "s__Taxon" "s__terevasa" "s__terrigena" "s__thermoamylovorans" "s__thermodenitrificans" "s__thermoflava" "s__torques" "s__transvaalensis" "s__tropica" "s__uda" "s__umsongensis" "s__uniformis" "s__ureolyticus" "s__vaccae" "s__vaginalis" "s__variabile" "s__venetianus" "s__veronii" "s__vinacea" "s__violacea" "s__viridans" "s__viridescens" "s__viridiflava" "s__vitis" "s__wittichii" "s__xylanilytica" "s__yabuuchiae" "s__zavarzinii" "s__zeae"
"SRS023557.SRX019686" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 8.58871463558226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.33091687811462 0 0 0 0 0 0 0 0 0 0 0 7.07681559705083 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 8.67948009950545 5.97727992349992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.69348695749932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS016596.SRX019686" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.91886323727459 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.11894107272351 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 4.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 8.38370429247405 6.83289001416474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.21674585819531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS018501.SRX019687" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 9.19475685442225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.58120058192496 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 6.76818432477693 5.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.07681559705083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS024106.SRX019686" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.17492568250068 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.90689059560852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.2336196767597 0 0 0 0 0 0 0 0 0 0 0 5.04439411935845 0 0 0 0 0 0 0 0 6.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 8.94836723158468 6.44294349584873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.59618975614441 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS017349.SRX019687" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.90689059560852 0 0 0 0 0 0 0 0 0 0 0 8.82336724004623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.48784003382305 0 0 0 0 0 0 0 0 0 0 0 5.49185309632967 0 0 0 0 0 0 0 0 8.95419631038687 0 1.58496250072116 0 1 0 0 0 0 0 0 0 0 0 0 0 4.75488750216347 0 0 0 8.56605403817109 6.02236781302845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS017833.SRX019686" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 8.49585502688717 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 8.63662462054365 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 4.39231742277876 0 1.58496250072116 0 1 0 0 1 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 9.62205181945638 5.4262647547021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS016412.SRX019688" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6.98868468677217 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.49185309632967 0 0 0 0 0 0 0 0 0 0 0 3.8073549220576 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3.70043971814109 4.24792751344359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.56985560833095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS018382.SRX019688" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6.3037807481771 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.55458885167764 0 0 0 0 0 0 0 0 0 0 0 4.4594316186373 0 0 0 0 0 0 0 0 5.83289001416474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 6.04439411935845 6.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.39231742277876 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS016765.SRX019688" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 7.11894107272351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.4594316186373 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 4.16992500144231 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 4.52356195605701 4.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS017890.SRX019688" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 7.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.18982455888002 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
