"SRS048334.SRX022036" "SRS055304.SRX022036" "SRS058584.SRX022036" "SRS050426.SRX022036" "SRS052849.SRX022222" "SRS062997.SRX022222" "SRS047653.SRX022222" "SRS049609.SRX022222" "SRS054475.SRX022222" "SRS023320.SRX022223" "SRS022876.SRX022223" "SRS022816.SRX022223" "SRS023260.SRX022223" "SRS023383.SRX022223" "SRS023689.SRX022223" "SRS023124.SRX022226" "SRS058681.SRX022227" "SRS048332.SRX022227" "SRS021127.SRX022230" "SRS021083.SRX022230" "SRS020829.SRX022230" "SRS020659.SRX022230" "SRS021322.SRX022235" "SRS021682.SRX022235" "SRS020773.SRX022235" "SRS021808.SRX022235" "SRS058387.SRX022242" "SRS021445.SRX022239" "SRS021193.SRX022239" "SRS020716.SRX022239" "SRS021382.SRX022239" "SRS050269.SRX022236" "SRS022243.SRX022231" "SRS022309.SRX022231" "SRS022177.SRX022231" "700015208.V35.241719" "SRS022753.SRX022231" "700015469.V35.241665" "700015094.V35.241773" "700014935.V35.241820" "700014809.V35.241722" "700014534.V35.241762" "700014419.V35.241827" "700015468.V35.241665" "700015438.V35.241712" "700033007.V35.241834" "700015273.V35.241748" "700014981.V35.241686" "700016324.V35.241673" "700033766.V35.241764" "700014583.V35.241766" "700033464.V35.241795" "700016068.V35.241709" "700015207.V35.241719" "700015141.V35.241755" "SRS018206.SRX019639" "SRS017412.SRX019683" "SRS022111.SRX019690" "SRS016160.SRX020573" "SRS015768.SRX020573" "SRS011631.SRX020660" "SRS011281.SRX020660" "SRS011167.SRX020666" "SRS011462.SRX020668" "SRS011631.SRX020668" "SRS011167.SRX020669" "SRS011512.SRX020669" "SRS015123.SRX020555" "SRS063197.SRX020579" "SRS014958.SRX020576" "SRS051311.SRX020563" "SRS050336.SRX020685" "SRS053271.SRX020533" "700016636.V35.241837" "SRS018015.SRX019639" "SRS018094.SRX019683" "SRS017355.SRX019687" "SRS019101.SRX020564" "SRS015464.SRX020545" "SRS019101.SRX020545" "SRS020194.SRX020680" "SRS065144.SRX020689" "SRS063766.SRX020579" "SRS045614.SRX020687" "700015731.V35.241804" "SRS017284.SRX019686" "SRS022627.SRX019689" "SRS057813.SRX020560" "SRS062742.SRX020689" "SRS021742.SRX022231" "SRS024586.SRX019639" "SRS023623.SRX019683" "SRS020545.SRX019684" "SRS018268.SRX019687" "SRS017473.SRX019687" "SRS023563.SRX019686" "SRS021502.SRX019690" "SRS017017.SRX019691" "SRS020887.SRX019691" "SRS016868.SRX019696" "SRS024283.SRX019692" "SRS014349.SRX020558" "SRS011462.SRX020660" "SRS011281.SRX020668" "SRS014813.SRX020555" "SRS011539.SRX020660" "SRS022498.SRX020680" "SRS013561.SRX020681" "SRS055904.SRX020681" "SRS049637.SRX020684" "SRS055805.SRX020684" "SRS044378.SRX020685" "SRS051881.SRX020687" "SRS058459.SRX021470" "SRS054361.SRX022036" "SRS056403.SRX022036" "SRS063986.SRX022222" "SRS052897.SRX022222" "SRS023809.SRX022223" "SRS022687.SRX022226" "SRS022372.SRX022226" "SRS051769.SRX022227" "SRS022564.SRX022226" "SRS048602.SRX022227" "SRS057920.SRX022227" "SRS064913.SRX022227" "SRS020488.SRX022230" "SRS020602.SRX022230" "SRS020944.SRX022239" "SRS021259.SRX022239" "SRS022051.SRX022231" "700014535.V35.241762" "700015439.V35.241712" "700015730.V35.241804" "700014934.V35.241820" "700015093.V35.241773" "700016365.V35.241702" "700016159.V35.241760" "700033170.V35.241783" "700014741.V35.241810" "SRS013714.SRX019690" "700014808.V35.241722" "SRS011488.SRX020668" "SRS021619.SRX020679" "SRS046160.SRX020685" "700015649.V35.241767" "SRS011425.SRX020669" "SRS056999.SRX020686" "SRS020431.SRX019682" "SRS013656.SRX019690" "SRS011512.SRX020666" "SRS015401.SRX020555" "SRS018797.SRX020576" "SRS016602.SRX019686" "700014742.V35.241810" "SRS016868.SRX019692" "SRS049259.SRX020686" "SRS024283.SRX019696" "SRS023065.SRX020679" "700015142.V35.241755" "SRS013508.SRX019683" "SRS024169.SRX019683" "700014584.V35.241766" "SRS017082.SRX019687" "SRS024046.SRX019681" "SRS021988.SRX019689" "SRS021001.SRX022235" "SRS011488.SRX020660" "700014420.V35.241827" "SRS065545.SRX020689" "SRS052153.SRX022222" "SRS021871.SRX022235" "SRS024472.SRX019684" "SRS043886.SRX020514"
"s__acidaminiphila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acidifaciens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acidilactici" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acnes" 1 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1.58496250072116 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0
"s__aculeolatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__adhaesivum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__adolescentis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__aeria" 0 0 0 0 0 0 0 0 0 1 1 0 5.39231742277876 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 1 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 2.58496250072116 0 1 0 3.90689059560852 3 0 0 0 0 0 0 0 1.58496250072116 1 0 1.58496250072116 0 0 3 0 1 0 0 2.8073549220576 0 0 0 0 0 0 0 0 2.58496250072116 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0
"s__aerofaciens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__agalactiae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
