"Salti.Forehead" "Northwind.Forehead" "Stannes.Forehead" "Dias.Forehead" "Caravel.Forehead" "Buckinghan.Forehead" "Willowbe.Forehead" "Misty.Forehead" "Nyack.Forehead" "Bulls.Forehead" "Delmore.Forehead" "Elmira.Forehead" "Bjorkland.Forehead" "Overton.Forehead" "Charmark.Forehead" "Erlandson.Forehead" "Edenfield.Forehead" "Maryjane.Forehead" "Gigi.Forehead" "Devenwood.Forehead" "Zambom.Forehead" "Sandale.Forehead" "Foothill.Forehead" "Cedarhurst.Forehead" "Quinapoxet.Forehead" "Digregorio.Forehead" "Lassell.Forehead" "Balcom.Forehead" "Witch.Forehead" "Ronald.Forehead" "Eisenhower.Forehead" "Noel.Forehead" "Purchade.Forehead" "Slades.Forehead" "Burne.Forehead" "Bows.Forehead" "Brae.Forehead" "Claudett.Forehead" "Milne.Forehead" "Barefoot.Forehead" "Larcridge.Forehead" "Menekish.Forehead" "January.Forehead"
"s__acidaminiphila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acnes" 11.610563503925 4.8073549220576 7.51569983828404 6.94251450533924 7.34872815423108 2.32192809488736 7.8073549220576 8.69696752623429 4.8073549220576 10.90989308377 10.4584066132365 10.4522412404308 3.58496250072116 9.08746284125034 1 9.53332973230583 12.2422809503024 10.5245417150358 6.7279204545632 9.54689445988764 11.1065629404449 7.49185309632967 6.35755200461808 6.70043971814109 9.56414948998573 5.88264304936184 11.297489501161 9.82177398197057 1.58496250072116 5.32192809488736 7.32192809488736 10.8703647195834 8.29462074889163 10.007027266894 6.98868468677217 11.2070143201775 9.82813648419411 11.0161118382205 7.98299357469431 6.56985560833095 10.0223678130285 4.75488750216347 10.2082343583398
"s__adhaesivum" 0 0 0 0 0 1.58496250072116 3.58496250072116 1 2 0 0 3.8073549220576 2 1 4.39231742277876 2 2.58496250072116 1 2.8073549220576 3.90689059560852 1 0 3.90689059560852 0 3.32192809488736 1 0 0 0 0 0 2.32192809488736 0 0 0 2.32192809488736 2 0 0 0 5.12928301694497 2.58496250072116 1
"s__adolescentis" 0 0 2 0 0 0 1.58496250072116 1 1 0 0 0 0 0 0 2 0 0 0 2.32192809488736 1 1.58496250072116 0 1 0 0 0 0 0 0 0 0 0 2.32192809488736 0 2.58496250072116 0 0 0 0 0 0 0
"s__aeria" 4.90689059560852 4.52356195605701 7.94836723158468 7.54689445988764 4.70043971814109 2.32192809488736 6.39231742277876 2.58496250072116 6.39231742277876 3.70043971814109 1 5.4262647547021 8.25266543245025 2.8073549220576 0 0 4.08746284125034 3.16992500144231 2.8073549220576 1 2.58496250072116 2.58496250072116 4.32192809488736 5.28540221886225 3.58496250072116 2.32192809488736 5.12928301694497 0 3.16992500144231 0 0 2 0 3.16992500144231 0 0 0 3.4594316186373 2 0 0 0 0
"s__aerofaciens" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 1.58496250072116 0 0 0 0 0 0 1 0 0 0 0 1.58496250072116 0 0 0 0
"s__agalactiae" 0 1 0 0 0 0 0 0 0 0 0 3.8073549220576 0 0 3 1 0 0 0 0 0 0 0 3.58496250072116 0 2 0 0 0 0 5.90689059560852 0 0 0 0 0 0 0 0 0 0 0 1
"s__aggregatus" 0 2 3 2 0 0 2.58496250072116 0 3.4594316186373 2.32192809488736 0 5.35755200461808 3.58496250072116 0 0 0 0 3.90689059560852 0 0 0 0 3.32192809488736 0 0 0 1.58496250072116 0 0 0 2.8073549220576 2.8073549220576 0 0 0 0 0 1.58496250072116 0 2 0 1 0
"s__agilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ahygroscopicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alaskensis" 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0
"s__albidocapillata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
