"Turkey.Leftpalm" "Purchade.Leftpalm" "Caryll.Leftpalm" "Cochituate.Leftpalm" "Loveland.Leftpalm" "Malfa.Leftpalm" "Brae.Leftpalm" "Coachmen.Leftpalm" "Lippokd.Leftpalm" "Sylvanus.Leftpalm" "Menekish.Leftpalm" "Hager.Leftpalm" "Azalea.Leftpalm" "Padanaram.Leftpalm" "Ronald.Leftpalm" "Noel.Leftpalm" "Fermanagh.Leftpalm" "Merchants.Leftpalm" "Flagstone.Leftpalm" "Digregorio.Leftpalm" "Winifreds.Leftpalm" "Dias.Leftpalm" "Goddu.Leftpalm" "Mariposa.Leftpalm" "Tewmac.Leftpalm" "Barefoot.Leftpalm" "Balcom.Leftpalm" "Lonergan.Leftpalm" "Nobscot.Leftpalm" "Innkeeper.Leftpalm" "Quinapoxet.Leftpalm" "Zambom.Leftpalm" "Lassell.Leftpalm" "Nyack.Leftpalm" "Trimmer.Leftpalm" "Sandale.Leftpalm" "Maryjane.Leftpalm" "Eisenhower.Leftpalm" "Stannes.Leftpalm" "Gigi.Leftpalm" "Erlandson.Leftpalm" "Cowan.Leftpalm"
"s__acidaminiphila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acidifaciens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acnes" 4 2.8073549220576 1.58496250072116 1.58496250072116 2.32192809488736 5.32192809488736 6.02236781302845 4 2.58496250072116 3.8073549220576 2.58496250072116 3.58496250072116 2.32192809488736 1.58496250072116 6.49185309632967 4.8073549220576 4.70043971814109 2.32192809488736 2 3 1 3 2.8073549220576 3.32192809488736 2.32192809488736 2.32192809488736 3.32192809488736 1 4.24792751344359 3.8073549220576 2.58496250072116 4.4594316186373 6.61470984411521 1.58496250072116 3.70043971814109 1.58496250072116 4.52356195605701 5.4262647547021 3.58496250072116 5.28540221886225 1.58496250072116 6.4093909361377
"s__adhaesivum" 1.58496250072116 5.61470984411521 4.16992500144231 2.32192809488736 0 1 1 1.58496250072116 3.32192809488736 2.32192809488736 0 3 1.58496250072116 0 2.8073549220576 2 0 0 0 0 4.95419631038687 0 0 0 3 0 2.58496250072116 0 0 0 2 0 0 3.58496250072116 3 4 0 0 0 0 1.58496250072116 3.8073549220576
"s__adolescentis" 0 3.16992500144231 0 0 1.58496250072116 3.4594316186373 1 0 0 1 0 6.12928301694497 0 0 7.31288295528436 0 4.08746284125034 0 2.58496250072116 0 0 0 2.8073549220576 0 0 3.90689059560852 1 0 0 0 0 0 0 2.58496250072116 0 1 2 0 4 0 0 0
"s__aeria" 2.58496250072116 5.61470984411521 0 1 1 4.85798099512757 3.90689059560852 4.39231742277876 3.8073549220576 4.24792751344359 0 7.37503943134692 4 0 2.32192809488736 3.4594316186373 0 0 0 1 0 7.25738784269265 0 0 0 0 3.90689059560852 4.24792751344359 5.04439411935845 3.90689059560852 7.64385618977472 0 4.58496250072116 3 0 0 4.58496250072116 4.08746284125034 6.44294349584873 5.64385618977472 0 6.39231742277876
"s__aerofaciens" 1.58496250072116 4.16992500144231 0 0 0 1.58496250072116 0 0 0 0 1 4.39231742277876 2.8073549220576 0 1 0 4.85798099512757 0 0 0 1.58496250072116 0 1.58496250072116 0 0 3.16992500144231 2.32192809488736 0 0 0 0 2 0 0 0 2.32192809488736 0 0 0 0 0 0
"s__agalactiae" 0 0 0 0 0 3.8073549220576 0 0 0 0 0 1.58496250072116 0 0 0 0 5 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 1.58496250072116 0 0 0 0 1
"s__aggregatus" 0 1 0 3.70043971814109 0 0 3.8073549220576 1 0 0 2.32192809488736 1 1.58496250072116 0 1 1 0 0 0 0 1 2 3.70043971814109 0 0 3.90689059560852 0 0 0 2 0 0 2 3 0 2.32192809488736 0 2 1 2.8073549220576 0 1.58496250072116
"s__agilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ahygroscopicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alaskensis" 0 0 3.16992500144231 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__albidocapillata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alcaligenes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__alkalitolerans" 0 0 2.32192809488736 0 0 0 0 0 2.8073549220576 1 0 2.32192809488736 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.90689059560852 0 1.58496250072116
"s__aminovorans" 0 0 1 0 2.8073549220576 3 0 2.32192809488736 2 0 0 2.8073549220576 1.58496250072116 0 2.58496250072116 2.8073549220576 0 5.58496250072116 3.4594316186373 0 4 0 0 0 0 0 0 0 0 4.4594316186373 3.8073549220576 0 0 0 3.90689059560852 3.16992500144231 2 0 0 0 0 3.32192809488736
"s__amylolyticus" 0 1 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__amylovorum" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116
"s__anaerobius" 0 0 0 0 0 0 4.70043971814109 0 0 0 0 1.58496250072116 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2.58496250072116 0 0 0 0 0 0 0 0
"s__andropogonis" 1 1 1 2 1 1 1 0 0 2.8073549220576 2 0 1.58496250072116 0 0 1 2.58496250072116 2 2.32192809488736 0 1 1 1 0 1 2.8073549220576 1.58496250072116 0 2.58496250072116 0 0 1 2 1 1 1.58496250072116 1.58496250072116 0 2 1.58496250072116 1 1.58496250072116
"s__anginosus" 0 0 0 0 0 0 4.64385618977472 0 1 0 0 4.24792751344359 0 0 4 0 0 0 0 0 0 4.4594316186373 0 0 0 2.58496250072116 0 0 0 3.16992500144231 0 3.32192809488736 3.16992500144231 0 0 0 0 3.90689059560852 0 3.16992500144231 0 0
"s__angustum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__animalis" 0 0 0 1 0 0 1.58496250072116 0 2 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"s__aquatilis" 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__arupense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__arvensicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__asini" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__atratus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__aureum" 3.16992500144231 0 0 0 0 0 2.32192809488736 0 0 0 2.32192809488736 3 0 0 1.58496250072116 0 0 0 0 0 0 0 0 3.32192809488736 0 2.32192809488736 0 0 0 0 5.28540221886225 0 0 0 0 0 0 0 0 4.90689059560852 0 4.08746284125034
"s__aureus" 1.58496250072116 2.58496250072116 1 0 1.58496250072116 1.58496250072116 1.58496250072116 3.32192809488736 4.32192809488736 3.16992500144231 2 3.58496250072116 2 1.58496250072116 4.24792751344359 4.08746284125034 2 2.32192809488736 0 2.32192809488736 1 1 1 1 2.58496250072116 3.70043971814109 2.8073549220576 0 1 3 1 3.70043971814109 2.58496250072116 2.58496250072116 2.58496250072116 2.32192809488736 2.8073549220576 0 2.58496250072116 4.24792751344359 1.58496250072116 3.4594316186373
"s__aurum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__autotrophicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__bacteriovorus" 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576
