"s__acnes" "s__aeria" "s__agalactiae" "s__alactolyticus" "s__aminovorans" "s__amylovorum" "s__anaerobius" "s__anginosus" "s__aquatilis" "s__aureus" "s__aurimucosum" "s__biforme" "s__boronitolerans" "s__bromii" "s__caccae" "s__callidus" "s__cecorum" "s__cinerea" "s__copri" "s__coprophilus" "s__delbrueckii" "s__dentocariosa" "s__depolymerans" "s__diminuta" "s__diospyrosa" "s__dispar" "s__distasonis" "s__dolichum" "s__durum" "s__eggerthii" "s__endodontalis" "s__epidermidis" "s__equi" "s__faecis" "s__farmeri" "s__fascians" "s__fragilis" "s__gallinarum" "s__garvieae" "s__genomosp." "s__globerulus" "s__gnavus" "s__granulosum" "s__haemolyticus" "s__helveticus" "s__iners" "s__infantis" "s__influenzae" "s__intermedia" "s__johnsonii" "s__komagatae" "s__kroppenstedtii" "s__kuhniae" "s__lividum" "s__longum" "s__luteciae" "s__luteus" "s__marcescens" "s__melaninogenica" "s__minor" "s__mirabilis" "s__moniliformis" "s__moorei" "s__mucilaginosa" "s__muciniphila" "s__multacida" "s__multivorum" "s__multocida" "s__nanceiensis" "s__nigrescens" "s__noxia" "s__ochracea" "s__ovatus" "s__pallens" "s__paradoxus" "s__parahaemolyticus" "s__parainfluenzae" "s__parvula" "s__plebeius" "s__pneumotropica" "s__prausnitzii" "s__producta" "s__pylori" "s__rhizosphaerae" "s__rimae" "s__rosea" "s__salivarius" "s__segnis" "s__sobrinus" "s__socranskii" "s__stercorea" "s__subflava" "s__tannerae" "s__uniformis" "s__venetianus" "s__viridiflava" "s__zeae"
"SRS024343.SRX019684" 1 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 0 0 8.15987133677839 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 4.24792751344359 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 8.97154355395077 0 0 0 0 5 0 0 0 0 4.4594316186373 1 0 1.58496250072116 0 3 0 0 6.52356195605701 4.4594316186373 0 0 1 0 0 0 0 0 0 1 0 0 0 7.34872815423108 4.8073549220576 0 0 0 0
"SRS020539.SRX019684" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.32192809488736 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 10.2167458581953 0 0 0 0 3.32192809488736 0 0 0 0 5.8073549220576 0 0 0 0 1 0 0 7.79441586635011 7.66533591718518 0 0 0 0 0 0 1 0 0 0 0 0 0 6.18982455888002 2.8073549220576 0 0 0 0
"SRS020881.SRX019691" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 8.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 9.30606168942834 0 0 0 0 4.95419631038687 0 0 0 0 7.81378119121704 0 0 0 0 2.58496250072116 0 1 9.54303182025524 7.4178525148859 0 0 0 0 0 0 0 0 0 0 0 0 0 5.8073549220576 0 0 0 0 0
"SRS011589.SRX020669" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2.32192809488736 0 0 1 0 0 0 6.96578428466209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 6.70043971814109 0 0 0 0 4.32192809488736 0 0 0 0 5.70043971814109 0 0 0 0 1.58496250072116 0 0 7.27612440527424 5.61470984411521 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 4.32192809488736 2.58496250072116 1 0 0 0
"SRS043574.SRX020563" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 1 0 0 0 10.0674343607565 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 10.3140167039014 0 0 0 0 6.62935662007961 0 0 0 0 0 0 0 1 0 2 0 0 4 5.83289001416474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS063514.SRX020579" 0 0 0 1 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 3 4.39231742277876 0 0 0 0 0 0 8.08746284125034 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 8.14974711950468 0 0 0 1 5.70043971814109 0 0 0 0 8.03342300153745 0 1 0 0 3.16992500144231 0 0 9.00842862207058 6.04439411935845 0 0 0 0 0 0 0 0 0 0 0 0 0 10.3253054550897 0 0 0 0 0
"SRS045871.SRX020563" 1 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.58496250072116 4.52356195605701 0 0 0 0 0 0 11.1799090900149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 1 1 0 0 0 0 0 0 0 1.58496250072116 0 0 11.2378074737231 0 0 0 0 7.8073549220576 0 0 0 0 0 0 1 2.32192809488736 0 2.58496250072116 0 0 8.54689445988764 7.23840473932508 0 0 0 0 0 0 0 0 0 0 0 0 0 9.20945336562895 0 0 0 0 0
"SRS047494.SRX020687" 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 9.283088353024 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 2.58496250072116 0 0 7.467605550083 0 0 0 0 7.90689059560852 0 0 0 0 5.49185309632967 1 0 0 0 0 0 0 6.76818432477693 6.18982455888002 0 0 0 0 0 0 0 0 0 0 0 0 0 9.8376279331714 0 0 0 0 0
"SRS023617.SRX019635" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 9.08214904135387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.90086680798075 0 0 0 2 4.58496250072116 0 0 0 0 5.12928301694497 1 0 1 0 0 0 0 8.39660478118186 7.09803208296053 0 0 0 0 0 0 0 0 0 0 0 1 0 6.39231742277876 0 0 0 0 0
"SRS017653.SRX019635" 2.8073549220576 3.70043971814109 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 1 0 7.97154355395077 0 0 0 0 2.58496250072116 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1.58496250072116 0 1.58496250072116 0 0 0 0 0 1.58496250072116 0 0 5.20945336562895 0 0 0 2 7.45121111183233 0 0 0 0 3.70043971814109 4.58496250072116 1 1 1.58496250072116 0 0 0 9.04712391211403 5.97727992349992 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 3 2.58496250072116 0 0 0 0
"SRS016529.SRX019635" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.76818432477693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 4.52356195605701 1 0 0 0 5.90689059560852 0 0 0 0 0 1 0 0 0 0 0 0 9.98156728190301 7.11894107272351 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0
"SRS020245.SRX019635" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 9.4858293087019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.00281501560705 0 0 0 0 1 0 0 0 0 3.16992500144231 0 1 0 0 2 0 0 6.04439411935845 5.20945336562895 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 5.20945336562895 0 0 0 0 0
"SRS020002.SRX019635" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 8.96000193206808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.5274770060604 0 0 0 0 6.08746284125034 0 0 0 0 5.64385618977472 1 0 1 0 0 0 0 8.70390357344466 4.85798099512757 0 0 0 0 0 0 0 0 0 0 0 0 0 6.14974711950468 0 0 0 0 0
"SRS018088.SRX019635" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 7.69348695749933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5.24792751344359 0 0 0 0 4.52356195605701 0 0 0 0 5.04439411935845 0 0 0 0 0 0 1 9.24317398347295 7.12928301694497 0 0 0 0 0 0 0 0 0 1 0 0 0 9.11113567023471 1 0 0 0 0
"SRS016529.SRX019636" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.3037807481771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8073549220576 0 0 0 0 5.32192809488736 0 0 0 0 1 0 0 1 0 0 0 0 9.67065624911844 7.14974711950468 0 0 0 0 0 0 0 0 0 1 0 0 0 1.58496250072116 0 0 0 0 0
"SRS017533.SRX019635" 1.58496250072116 2.32192809488736 0 0 0 0 0 1.58496250072116 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 7.76155123244448 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2.32192809488736 0 0 0 0 0 0 0 1 0 0 7.34872815423108 0 0 0 0 5.20945336562895 0 0 0 0 7.27612440527424 1 0 1 0 0 0 0 8.94544383637791 6.2667865406949 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"SRS013502.SRX019636" 1 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.16992500144231 0 0 0 0 0 0 0 8.08214904135387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 7.68650052718322 0 0 0 0 6.10852445677817 0 0 0 0 3.32192809488736 0 0 0 0 0 0 2 8.73131903102506 6.02236781302845 0 0 1 0 0 0 0 0 0 0 0 0 0 6.98868468677217 0 0 0 0 0
"SRS017653.SRX019636" 2.8073549220576 3.90689059560852 0 0 1 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 7.97727992349992 0 0 0 0 1.58496250072116 1 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1 1 0 1.58496250072116 0 0 0 0 0 1 1 0 5 0 0 0 1 6.94251450533924 0 0 0 0 2.8073549220576 4.70043971814109 1.58496250072116 1.58496250072116 2 0 0 1 8.75822321472672 5.97727992349992 0 0 0 0 0 0 0 0 0 0 0 1 0 2.32192809488736 3 0 0 0 0
"SRS017533.SRX019636" 0 2.58496250072116 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 7.53915881110803 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 7.24792751344359 0 0 0 0 4.90689059560852 0 0 0 0 7.04439411935845 0 0 0 0 0 0 0 8.73131903102506 6.24792751344359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS013234.SRX019639" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 7.83920378809694 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 0 0 2.58496250072116 0 0 7.58496250072116 0 0 0 0 5.49185309632967 0 0 0 0 0 1 0 0 1 1 0 0 6.08746284125034 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"SRS018009.SRX019639" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 3.16992500144231 0 0 0 0 0 0 9.5352753766208 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 8.67595703294175 0 0 0 0 5.90689059560852 0 0 0 0 2 1.58496250072116 0 1 0 0 0 0 7.91288933622996 5.28540221886225 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"SRS016343.SRX019682" 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 7.6724253419715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 8.17990909001493 0 0 0 0 5 0 0 0 0 5.08746284125034 0 0 1.58496250072116 0 0 0 0 7.59991284218713 4.75488750216347 0 0 0 0 0 0 0 0 0 2 0 0 0 7.52356195605701 0 0 0 0 0
"SRS016712.SRX019682" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 0 0 5.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 7.45121111183233 0 0 0 0 4.75488750216347 0 0 0 0 0 0 1 8.4262647547021 6.4757334309664 0 0 0 0 0 0 0 0 0 1 0 0 0 6.06608919045777 0 0 0 0 0
"SRS057692.SRX019682" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 5.04439411935845 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 2.32192809488736 0 0 0 0 4.70043971814109 0 1 0 0 0 0 1 8.51963625284321 6.68650052718322 0 0 0 0 0 0 0 0 0 1 0 0 0 5.04439411935845 0 0 0 0 0
"SRS017713.SRX019682" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 2 0 0 0 7.21916852046216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 7.28540221886225 0 0 0 0 6.95419631038687 0 0 0 0 2 0 0 1.58496250072116 0 1 0 0 7.4262647547021 4 0 0 0 0 0 0 0 0 0 1 0 0 0 9.65284497300198 1.58496250072116 0 0 0 0
"SRS023746.SRX019681" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 5.61470984411521 0 0 0 0 6.55458885167764 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 7.56224242422107 4.64385618977472 0 0 0 0 0 0 0 0 0 1 0 0 0 4.70043971814109 0 0 0 0 0
"SRS020302.SRX019684" 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 1 0 0 0 7.3037807481771 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 6.02236781302845 0 0 0 0 6.08746284125034 0 0 0 0 4.08746284125034 2.58496250072116 0 0 0 0 0 0 9 6.82017896241519 0 0 0 0 0 0 0 0 0 0 0 0 0 8.83605035505807 0 0 0 0 0
"SRS013819.SRX019684" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1.58496250072116 0 0 0 8.09275714091985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 1 1 0 0 0 0 0 0 0 1.58496250072116 0 0 7.95419631038687 0 0 0 0 6.49185309632967 0 0 0 0 4.4594316186373 0 0 1 0 0 0 0 8.66533591718518 6.14974711950468 0 0 0 0 0 0 0 0 0 0 0 0 0 6.97727992349992 2 0 0 0 0
