"Hallets.Forehead" "Postscript.Forehead" "Starratt.Forehead" "Coachmen.Forehead" "Gibbon.Forehead" "Trimmer.Forehead" "Innitou.Forehead" "Tewmac.Forehead" "Cochituate.Forehead" "Mariposa.Forehead" "Wilbraview.Forehead" "Caryll.Forehead" "Westbora.Forehead" "Janis.Forehead" "Pinrock.Forehead" "Elmavenue.Forehead" "Shadyside.Forehead" "Loveland.Forehead" "Cornstalk.Forehead" "Hager.Forehead" "Nobscot.Forehead" "Lonergan.Forehead" "Lippokd.Forehead" "Malfa.Forehead" "Merchants.Forehead" "Flagstone.Forehead" "Sylvanus.Forehead" "Fermanagh.Forehead" "Winifreds.Forehead" "Woodfin.Forehead" "Reacher.Forehead" "Netta.Forehead" "Goddu.Forehead" "Azalea.Forehead" "Patmos.Forehead" "Trafford.Forehead" "Vinedale.Forehead" "Padanaram.Forehead" "Innkeeper.Forehead" "Cowan.Forehead" "Watoguadoc.Forehead" "Meadowlands.Forehead" "Pasho.Forehead"
"s__acidaminiphila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acnes" 12.6022349013411 3.8073549220576 3.4594316186373 8.26209484537018 7.34872815423108 9.14210705730255 10.7681843247769 13.1096674442508 11.7393587074334 9.2807707701306 8.81698362325538 10.9210970881068 10.7013064619586 9.80251636512122 7.37503943134692 9.43462822763673 6.61470984411521 8.73470962022584 4.90689059560852 8.66177809777199 5.35755200461808 1.58496250072116 12.6971847832245 11.6013065261218 8.09275714091985 7.96000193206808 9.93073733756289 11.8707500033461 11.2807707701306 11.6728672764338 8.77807712953536 9.22881869049588 11.7652860987237 8.7176764230664 2.32192809488736 11.9794251953315 4.32192809488736 7.6724253419715 9.20212382383046 11.3782948559119 11.1484765821783 9.54303182025524 8.78135971352466
"s__adhaesivum" 0 1 4.75488750216347 2 0 2.32192809488736 0 0 2 0 0 2.8073549220576 1.58496250072116 0 0 4.95419631038687 4.08746284125034 0 0 4.24792751344359 5.04439411935845 0 2.32192809488736 2.32192809488736 3.70043971814109 4.70043971814109 1 2.32192809488736 3.16992500144231 4 0 0 3.8073549220576 3.16992500144231 0 0 0 2.32192809488736 0 1.58496250072116 0 0 0
"s__adolescentis" 2.8073549220576 0 3.32192809488736 0 0 3.32192809488736 0 1 0 0 0 3.58496250072116 6.55458885167764 5.04439411935845 0 0 1 2 1 2.58496250072116 0 1 0 1.58496250072116 0 0 1.58496250072116 0 0 0 2 0 0 1.58496250072116 0 0 0 0 0 0 0 3.8073549220576 0
"s__aeria" 1 2.32192809488736 3.70043971814109 0 2.8073549220576 4.08746284125034 0 3.8073549220576 0 3 0 4.90689059560852 2.32192809488736 3.90689059560852 0 3.90689059560852 2.58496250072116 0 1 1 3 2.58496250072116 3.32192809488736 4.75488750216347 3.90689059560852 3.8073549220576 1.58496250072116 0 0 6 2.58496250072116 3.70043971814109 5.08746284125034 0 3.4594316186373 3.8073549220576 1 0 5.85798099512757 6.90689059560852 7.92481250360578 0 4.8073549220576
"s__aerofaciens" 1 0 4.85798099512757 0 0 0 0 0 0 0 0 0 7.11894107272351 0 0 1 0 0 0 1 2.32192809488736 0 0 5.08746284125034 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0
"s__agalactiae" 1.58496250072116 0 0 1 0 0 0 2.58496250072116 0 0 0 0 0 0 2.58496250072116 6.28540221886225 0 0 0 0 0 0 0 0 0 0 0 0 0 5.39231742277876 1 0 0 0 0 0 2.8073549220576 0 0 0 0 1 0
"s__aggregatus" 2.58496250072116 1.58496250072116 1 0 2 2.32192809488736 0 0 0 2 2.32192809488736 2 1.58496250072116 0 2.58496250072116 0 7.3037807481771 0 0 0 1.58496250072116 0 0 3.90689059560852 0 1 0 0 1.58496250072116 1 1 3.70043971814109 3.70043971814109 4.16992500144231 0 1.58496250072116 0 0 2 1 0 1.58496250072116 2
"s__agilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ahygroscopicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
