"Meadowlands.Leftpalm" "Delmore.Leftpalm" "Slades.Leftpalm" "Reacher.Leftpalm" "Charmark.Leftpalm" "Cedarhurst.Leftpalm" "Postscript.Leftpalm" "Pinrock.Leftpalm" "Salti.Leftpalm" "Larcridge.Leftpalm" "Devenwood.Leftpalm" "Vinedale.Leftpalm" "Gibbon.Leftpalm" "Misty.Leftpalm" "Witch.Leftpalm" "Edenfield.Leftpalm" "Westbora.Leftpalm" "Pasho.Leftpalm" "Trafford.Leftpalm" "Northwind.Leftpalm" "Claudett.Leftpalm" "Bjorkland.Leftpalm" "January.Leftpalm" "Cornstalk.Leftpalm" "Willowbe.Leftpalm" "Elmira.Leftpalm" "Woodfin.Leftpalm" "Starratt.Leftpalm" "Overton.Leftpalm" "Patmos.Leftpalm" "Netta.Leftpalm" "Buckinghan.Leftpalm" "Innitou.Leftpalm" "Bulls.Leftpalm" "Foothill.Leftpalm" "Caravel.Leftpalm" "Bows.Leftpalm" "Hallets.Leftpalm" "Janis.Leftpalm" "Shadyside.Leftpalm" "Burne.Leftpalm" "Wilbraview.Leftpalm" "Watoguadoc.Leftpalm"
"s__acidaminiphila" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__acnes" 3.4594316186373 3.16992500144231 6.68650052718322 6.4262647547021 0 2 2.58496250072116 3.16992500144231 4.24792751344359 1.58496250072116 1.58496250072116 0 3.4594316186373 2 1 8.40087943628218 1 3.16992500144231 2 2.8073549220576 4.24792751344359 0 3.16992500144231 1 0 2.8073549220576 4.32192809488736 2.58496250072116 3.4594316186373 2.32192809488736 1 0 2 0 2.58496250072116 0 3.32192809488736 0 2 0 2 1 0
"s__adhaesivum" 0 0 4.95419631038687 0 0 2.8073549220576 2.58496250072116 0 1.58496250072116 2 1 4.95419631038687 0 3 2.8073549220576 2.32192809488736 0 0 0 0 0 0 0 0 0 2.32192809488736 2.8073549220576 0 0 4.08746284125034 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0
"s__adolescentis" 2.32192809488736 0 0 0 0 1 0 0 0 0 0 0 1.58496250072116 1 0 1.58496250072116 0 0 0 3.70043971814109 1.58496250072116 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2.58496250072116 1 3.32192809488736 0 0 1.58496250072116 0
"s__aeria" 4.39231742277876 2 2.8073549220576 4.95419631038687 0 6 3.4594316186373 2 3.4594316186373 3.16992500144231 0 3.16992500144231 4.39231742277876 1 0 4.70043971814109 0 5.78135971352466 5.24792751344359 0 3.32192809488736 4.39231742277876 0 0 1 0 3.58496250072116 5.16992500144231 4.32192809488736 0 3.58496250072116 0 0 2 0 0 0 0 2.8073549220576 0 0 0 0
"s__aerofaciens" 2.58496250072116 0 0 0 0 0 0 0 2 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__agalactiae" 0 0 0 0 0 6.4093909361377 0 0 0 0 0 0 0 0 0 0 0 0 0 5.04439411935845 0 0 0 0 0 0 4.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__aggregatus" 2.58496250072116 0 5.28540221886225 0 0 0 2.32192809488736 0 0 0 0 1 1.58496250072116 3.4594316186373 1 5.4262647547021 0 0 0 2.8073549220576 0 2.8073549220576 0 0 0 2 2.58496250072116 3.32192809488736 0 0 0 0 0 0 0 0 0 4.8073549220576 0 1 0 0 0
"s__agilis" 0 0 0 0 0 0 4.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ahygroscopicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
